"Make","Price","Year","Kilometer","Fuel Type","Transmission","Owner","Seller Type","Engine","Power","Torque","Drivetrain","Length","Width","Height","SeatingCapacity","TankCapacity"
"Skoda",1500000,2016,70,"Petrol","Automatic","Second","Individual",1798,177,250,"FWD",4861,1864,1483,"5",66
"Audi",2100000,2017,42,"Diesel","Automatic","First","Individual",1968,184,380,"AWD",4385,1831,1608,"5",64
"Volkswagen",345000,2015,70,"Diesel","Manual","First","Individual",1498,89,230,"FWD",3971,1682,1469,"5",45
"Honda",850000,2018,52.89,"Petrol","Manual","First","Individual",1497,117,145,"FWD",4440,1695,1495,"5",40
"Hyundai",1425000,2018,72.87,"Diesel","Automatic","First","Corporate",1582,126,260,"FWD",4270,1780,1665,"5",55
"Hyundai",675000,2017,48.591,"Petrol","Manual","First","Individual",1197,82,115,"FWD",3985,1734,1505,"5",45
"Mahindra",925000,2019,60.888,"Diesel","Manual","First","Individual",1497,115,300,"FWD",3995,1821,1627,"5",42
"Hyundai",210000,2014,48,"Petrol","Manual","First","Individual",814,55,75,"FWD",3495,1550,1500,"5",32
"Tata",760000,2018,20.251,"Petrol","Manual","First","Individual",1198,108,170,"FWD",3994,1811,1607,"5",44
"Hyundai",640000,2015,49,"Diesel","Manual","First","Individual",1582,126,260,"FWD",4375,1700,1475,"5",43
"Maruti Suzuki",340000,2013,66,"Petrol","Manual","First","Individual",1197,85,114,"FWD",3850,1695,1530,"5",42
"Land Rover",5995000,2020,54.2,"Diesel","Automatic","First","Individual",1999,177,430,"AWD",4600,2069,1724,"<5",70
"Honda",695000,2017,51.292,"Petrol","Manual","First","Individual",1497,117,145,"FWD",4440,1695,1495,"5",40
"Ford",465000,2015,89,"Diesel","Manual","Second","Individual",1498,99,215,"FWD",3886,1695,1525,"5",40
"Toyota",735000,2019,55,"Petrol","Manual","First","Individual",1197,82,113,"FWD",3995,1745,1510,"5",37
"Hyundai",1848999,2021,20,"Diesel","Manual","First","Individual",1493,113,250,"FWD",4500,1790,1675,"<5",50
"Honda",685000,2016,68.5,"Petrol","Manual","First","Individual",1497,117,145,"FWD",4440,1695,1495,"5",40
"Hyundai",875000,2014,99,"Diesel","Automatic","First","Corporate",2199,194,437,"AWD",4690,1880,1690,"<5",64
"Toyota",2039999,2018,110,"Diesel","Automatic","First","Corporate",2755,172,360,"RWD",4735,1830,1795,"<5",55
"Toyota",7e+05,2019,19.244,"Petrol","Manual","First","Individual",1197,82,113,"FWD",3995,1745,1510,"5",37
"Maruti Suzuki",550000,2020,19,"Petrol","Manual","First","Individual",1197,82,113,"FWD",3655,1620,1675,"5",32
"Hyundai",825000,2015,75,"Diesel","Automatic","Second","Individual",2199,194,437,"AWD",4690,1880,1690,"<5",64
"Toyota",3100000,2021,29,"Diesel","Manual","First","Individual",2393,148,343,"RWD",4735,1830,1795,"<5",55
"Audi",1400000,2013,60,"Diesel","Automatic","Second","Individual",1968,177,380,"FWD",4915,1874,1455,"5",65
"Maruti Suzuki",425000,2015,80,"Petrol","Manual","Second","Individual",1197,85,114,"FWD",3850,1695,1530,"5",42
"Lexus",4375000,2018,54.5,"Petrol","Automatic","Second","Individual",2494,194,210,"AWD",4640,1845,1645,"5",56
"Toyota",3e+06,2021,38,"Diesel","Automatic","First","Individual",2393,148,360,"RWD",4735,1830,1795,"<5",55
"Mercedes-Benz",6600000,2021,16.785,"Petrol","Automatic","First","Individual",1991,194,320,"RWD",4658,1890,1644,"5",66
"Maruti Suzuki",640000,2016,52,"Diesel","Manual","Second","Individual",1248,89,200,"FWD",3995,1790,1640,"5",48
"Hyundai",275000,2013,76,"Other","Manual","First","Individual",1086,62,96,"FWD",3565,1525,1590,"5",35
"Hyundai",695000,2019,42.678,"Petrol","Manual","First","Individual",1197,82,115,"FWD",3985,1734,1505,"5",45
"Honda",245000,2010,95,"Petrol","Automatic","Second","Individual",1497,118,146,"FWD",4420,1695,1480,"5",42
"Renault",690000,2016,65,"Diesel","Manual","Second","Individual",1461,108,248,"FWD",4315,1822,1695,"5",50
"Volkswagen",1500000,2021,31,"Petrol","Automatic","First","Individual",999,114,178,"FWD",4221,1760,1612,"5",50
"Maruti Suzuki",270000,2014,82.682,"Petrol","Manual","First","Individual",998,67,90,"FWD",3620,1475,1460,"5",35
"Hyundai",545000,2016,70.5,"Diesel","Manual","First","Individual",1396,89,220,"FWD",3995,1760,1555,"5",45
"MG",1875000,2021,10,"Petrol","Automatic","First","Individual",1451,141,250,"FWD",4720,1835,1760,"<5",60
"Renault",254999,2016,57.159,"Petrol","Manual","First","Individual",799,53,72,"FWD",3679,1579,1478,"5",28
"BMW",2e+06,2014,82,"Diesel","Automatic","First","Individual",1995,184,380,"RWD",4624,2031,1429,"5",52
"Land Rover",2785000,2016,120,"Diesel","Automatic","First","Individual",2993,245,600,"AWD",4838,1915,1837,"<5",82
"Mahindra",1800000,2021,17,"Diesel","Manual","First","Individual",2184,130,300,"AWD",3985,1820,1844,">5",57
"Honda",475000,2012,40,"Petrol","Automatic","Second","Individual",1497,116,146,"FWD",4440,1695,1485,"5",42
"Hyundai",650000,2020,58.1,"Petrol","Manual","First","Individual",1197,82,115,"FWD",3985,1734,1505,"5",45
"Toyota",1199000,2012,12.749,"Diesel","Manual","First","Individual",2982,169,343,"AWD",4705,1840,1850,"<5",80
"Hyundai",650000,2013,83.466,"Diesel","Automatic","First","Individual",2199,195,436,"AWD",4660,1890,1760,"<5",70
"Mahindra",795000,2015,86,"Diesel","Manual","Second","Individual",2523,75,200,"RWD",4456,1820,1930,"<5",60
"Mercedes-Benz",2385000,2015,60.921,"Petrol","Automatic","Second","Individual",1991,181,300,"RWD",4686,1810,1442,"5",66
"Audi",1700000,2014,78,"Diesel","Automatic","First","Individual",1968,174,380,"AWD",4629,1898,1653,"5",75
"Hyundai",380000,2012,53,"Petrol","Manual","First","Corporate",1591,121,158,"FWD",4370,1700,1475,"5",43
"Renault",295000,2016,34.736,"Petrol","Manual","First","Individual",999,67,91,"FWD",3679,1579,1478,"5",28
"Tata",1750000,2020,14.4,"Diesel","Manual","First","Individual",1956,168,350,"FWD",4598,1894,1706,"5",50
"Mahindra",525000,2015,85,"Diesel","Manual","Second","Individual",2498,105,247,"AWD",3920,1710,1930,"<5",60
"Audi",2180000,2018,77.59,"Petrol","Automatic","First","Individual",1395,148,250,"FWD",4456,1796,1416,"5",50
"Ford",8e+06,2017,25,"Petrol","Automatic","Third or more","Individual",4951,396,515,"RWD",4784,2080,1391,">5",61
"Jaguar",4325000,2018,40.545,"Diesel","Automatic","First","Individual",1999,177,430,"AWD",4731,2071,1651,"5",82
"Maruti Suzuki",120000,2009,80,"Diesel","Manual","Third or more","Individual",1248,75,190,"FWD",3715,1680,1620,"5",43
"Maruti Suzuki",155000,2009,56.852,"Other","Manual","Second","Individual",796,39,54,"FWD",3495,1475,1460,"5",35
"Maruti Suzuki",735000,2018,42,"Petrol","Automatic","First","Individual",1197,82,113,"FWD",3995,1735,1515,"5",37
"Skoda",9e+05,2018,55,"Petrol","Automatic","Second","Individual",1598,104,153,"FWD",4413,1699,1466,"5",55
"Skoda",795000,2014,53,"Petrol","Automatic","Second","Individual",1798,158,250,"FWD",4838,1817,1482,"5",60
"MINI",3300000,2018,17,"Diesel","Automatic","First","Individual",1496,114,270,"FWD",3821,1727,1414,"5",44
"Toyota",3775000,2020,50,"Diesel","Automatic","First","Individual",2755,174,450,"RWD",4795,1855,1835,"<5",80
"Mahindra",325000,2012,70,"Diesel","Manual","Third or more","Individual",2489,95,220,"FWD",4520,1850,1895,"<5",55
"Maruti Suzuki",725000,2017,75.793,"Diesel","Manual","First","Individual",1248,89,200,"FWD",3995,1790,1640,"5",48
"Volvo",994999,2012,89.311,"Diesel","Automatic","First","Individual",1984,165,400,"FWD",4635,1865,1484,"5",68
"Maruti Suzuki",785000,2018,80,"Diesel","Manual","First","Individual",1248,89,200,"FWD",3995,1790,1640,"5",48
"Porsche",7500000,2020,38,"Petrol","Automatic","First","Individual",2995,349,480,"AWD",4696,1923,1624,"5",65
"Toyota",2799000,2019,69.5,"Diesel","Automatic","Second","Individual",2755,174,450,"RWD",4795,1855,1835,"<5",80
"Maruti Suzuki",390000,2018,66.794,"Petrol","Manual","First","Individual",998,67,90,"FWD",3599,1495,1700,"5",35
"Porsche",9e+06,2019,27,"Petrol","Automatic","First","Corporate",1984,248,370,"AWD",4696,1923,1624,"5",65
"Maruti Suzuki",675000,2017,35.616,"Petrol","Automatic","First","Individual",1197,83,115,"FWD",3995,1745,1500,"5",37
"Maruti Suzuki",320000,2015,64,"Petrol","Manual","First","Individual",1196,73,101,"RWD",3675,1475,1800,"5",40
"Maruti Suzuki",840000,2020,7,"Petrol","Automatic","First","Individual",1197,83,115,"FWD",3995,1745,1500,"5",37
"Maruti Suzuki",310000,2015,45,"Petrol","Manual","First","Individual",998,67,90,"FWD",3599,1495,1700,"5",35
"Maruti Suzuki",795000,2017,9,"Petrol","Manual","First","Individual",1373,94,130,"FWD",4296,1695,1685,"<5",45
"Maruti Suzuki",310000,2015,67.738,"Other","Manual","Second","Individual",998,58,77,"FWD",3599,1495,1700,"5",35
"Toyota",860000,2021,11.03,"Petrol","Manual","First","Individual",1197,82,113,"FWD",3995,1745,1510,"5",37
"Hyundai",390000,2015,49.123,"Petrol","Manual","First","Individual",1197,79,113,"FWD",3585,1595,1550,"5",35
"Maruti Suzuki",520000,2018,46,"Diesel","Manual","First","Individual",1248,74,190,"FWD",3995,1695,1555,"5",42
"Maruti Suzuki",675000,2018,64,"Diesel","Manual","First","Individual",1248,89,200,"FWD",3995,1790,1640,"5",48
"Maruti Suzuki",475000,2021,7.942,"Petrol","Manual","First","Individual",998,67,90,"FWD",3565,1520,1564,"5",27
"Maruti Suzuki",265000,2017,52.1,"Petrol","Manual","First","Individual",796,47,69,"FWD",3395,1490,1475,"5",35
"Skoda",950000,2019,32.809,"Diesel","Manual","First","Individual",1598,105,250,"FWD",4386,1699,1466,"5",55
"Toyota",1750000,2014,101,"Diesel","Automatic","First","Individual",2982,169,360,"RWD",4705,1840,1850,"<5",80
"Audi",2225000,2016,40.5,"Diesel","Automatic","First","Individual",1968,141,320,"FWD",4456,1796,1416,"5",50
"Jeep",1748999,2021,25.7,"Petrol","Manual","First","Corporate",1368,160,250,"FWD",4395,1818,1640,"5",60
"Mercedes-Benz",2250000,2014,85,"Diesel","Automatic","Second","Individual",2143,203,500,"AWD",4804,2141,1796,"5",70
"Hyundai",690000,2017,17.268,"Petrol","Manual","First","Individual",1197,82,115,"FWD",3985,1734,1505,"5",45
"Maruti Suzuki",561000,2017,68,"Petrol","Manual","First","Individual",1197,83,115,"FWD",3995,1745,1500,"5",37
"Jeep",1580000,2020,57,"Diesel","Manual","First","Individual",1693,130,246,"FWD",4395,1818,1640,"5",60
"Maruti Suzuki",595000,2017,44.1,"Petrol","Automatic","First","Corporate",1197,83,115,"FWD",3995,1695,1555,"5",42
"Hyundai",235000,2009,115,"Petrol","Manual","Third or more","Individual",1197,80,112,"FWD",3940,1710,1505,"5",45
"Hyundai",450000,2014,23,"Petrol","Manual","First","Individual",1197,83,114,"FWD",3995,1710,1505,"5",45
"BMW",2299000,2014,58,"Diesel","Automatic","First","Individual",1995,184,380,"RWD",4899,2094,1464,"5",52
"Mercedes-Benz",4590000,2018,95.786,"Diesel","Automatic","First","Individual",2143,201,500,"AWD",4819,2141,1796,"5",93
"Audi",2150000,2016,95.401,"Diesel","Automatic","First","Individual",1968,174,380,"AWD",4385,1831,1608,"5",64
"Kia",1850000,2020,7,"Petrol","Automatic","First","Individual",1353,138,242,"FWD",4315,1800,1645,"5",50
"Hyundai",1175000,2017,24,"Petrol","Automatic","First","Individual",1999,150,192,"FWD",4620,1800,1465,"5",50
"Maruti Suzuki",250000,2012,68,"Petrol","Manual","First","Individual",998,68,90,"FWD",3539,1495,1700,"5",35
"Hyundai",4e+05,2015,41.273,"Petrol","Manual","First","Individual",1495,94,125,"FWD",4250,1670,1370,"5",45
"Hyundai",1100000,2018,65.954,"Diesel","Manual","First","Individual",1582,126,260,"FWD",4270,1780,1665,"5",55
"Hyundai",395000,2016,28,"Petrol","Manual","First","Individual",1197,79,113,"FWD",3585,1595,1550,"5",35
"Maruti Suzuki",425000,2021,38.848,"Petrol","Manual","First","Individual",998,67,90,"FWD",3565,1520,1564,"5",27
"Toyota",2190000,2017,30,"Diesel","Manual","First","Individual",2393,148,343,"RWD",4735,1830,1795,"<5",55
"Lexus",4800000,2020,27,"Other","Automatic","First","Individual",2487,176,221,"FWD",4975,1865,1445,"5",50
"Maruti Suzuki",421000,2017,69,"Petrol","Manual","First","Individual",1197,83,115,"FWD",3995,1695,1555,"5",42
"Hyundai",560000,2016,22.7,"Petrol","Manual","First","Individual",1197,82,115,"FWD",3995,1760,1555,"5",45
"Audi",3250000,2019,41,"Diesel","Automatic","Second","Individual",1968,184,380,"AWD",4385,1831,1608,"5",64
"Mahindra",875000,2014,100,"Diesel","Manual","Second","Individual",2179,120,280,"RWD",4456,1820,1995,"<5",60
"Maruti Suzuki",899000,2018,13.066,"Petrol","Manual","First","Individual",1373,91,130,"FWD",4490,1730,1485,"5",43
"Renault",425000,2015,75,"Diesel","Manual","First","Individual",1461,84,200,"FWD",4315,1822,1695,"5",50
"Maruti Suzuki",425000,2019,53.241,"Petrol","Manual","First","Individual",998,67,90,"FWD",3565,1520,1564,"5",27
"MINI",3875000,2021,12,"Petrol","Automatic","First","Individual",1998,189,280,"FWD",4299,1822,1557,"5",47
"Honda",5e+05,2013,65,"Petrol","Manual","First","Individual",1497,116,146,"FWD",4440,1695,1485,"5",42
"Toyota",1225000,2012,97,"Diesel","Manual","Second","Individual",2982,169,343,"RWD",4705,1840,1850,"<5",80
"Toyota",1789999,2017,49,"Petrol","Automatic","Second","Individual",2694,164,245,"RWD",4735,1830,1795,"<5",65
"Hyundai",240000,2013,64,"Petrol","Manual","First","Individual",998,68,94,"FWD",3515,1500,1510,"5",32
"Honda",935000,2019,56,"Diesel","Manual","First","Individual",1498,99,200,"FWD",3990,1680,1505,"5",35
"Maruti Suzuki",775000,2018,39,"Petrol","Automatic","First","Individual",1197,82,113,"FWD",3995,1745,1510,"5",37
"Mahindra",950000,2017,55,"Diesel","Manual","Second","Individual",1997,120,280,"RWD",4456,1820,1995,"<5",60
"Hyundai",549000,2018,53,"Petrol","Automatic","Second","Individual",1197,81,114,"FWD",3765,1660,1520,"5",43
"Maruti Suzuki",645000,2021,1.374,"Other","Manual","First","Individual",1196,73,101,"RWD",3675,1475,1800,"5",40
"Mercedes-Benz",3400000,2018,68,"Diesel","Automatic","First","Individual",1950,192,400,"RWD",4686,1810,1442,"5",66
"Hyundai",645000,2019,35,"Petrol","Manual","First","Individual",1197,82,115,"FWD",3985,1734,1505,"5",45
"BMW",2600000,2016,39,"Diesel","Automatic","First","Individual",1995,190,400,"RWD",4899,2094,1464,"5",65
"Audi",1375000,2011,62,"Diesel","Automatic","First","Individual",1968,177,380,"FWD",4701,1826,1427,"5",63
"Honda",1340000,2021,11,"Petrol","Automatic","First","Individual",1497,117,145,"FWD",4440,1695,1495,"5",40
"Maruti Suzuki",840000,2020,11,"Petrol","Manual","First","Individual",1197,82,113,"FWD",3840,1735,1530,"5",37
"Maruti Suzuki",525000,2014,102,"Petrol","Manual","Second","Individual",1197,85,114,"FWD",3995,1695,1555,"5",42
"Maruti Suzuki",625000,2022,7,"Petrol","Manual","First","Individual",1196,72,98,"RWD",3675,1475,1825,"<5",40
"Hyundai",215000,2012,20,"Petrol","Manual","First","Individual",814,55,75,"FWD",3495,1550,1500,"5",32
"Hyundai",595000,2019,25,"Petrol","Manual","First","Individual",1197,81,114,"FWD",3765,1660,1520,"5",43
"Audi",4150000,2022,22,"Petrol","Automatic","First","Individual",1984,188,320,"FWD",4762,1847,1433,"5",54
"Maruti Suzuki",750000,2018,65,"Diesel","Manual","First","Individual",1248,74,190,"FWD",3840,1735,1530,"5",37
"Ford",550000,2013,47,"Petrol","Manual","First","Individual",1499,109,140,"FWD",3999,1765,1708,"5",52
"Renault",450000,2016,2000,"Diesel","Manual","First","Individual",1461,108,248,"FWD",4315,1822,1695,"5",50
"BMW",4175000,2016,27.011,"Diesel","Automatic","Second","Individual",2993,258,560,"AWD",4886,1938,1762,"5",52
"Jaguar",2700000,2018,45.545,"Diesel","Automatic","Second","Individual",1999,177,430,"RWD",4795,1967,1416,"5",56
"Mercedes-Benz",6150000,2018,18,"Diesel","Automatic","First","Individual",2987,255,620,"AWD",4819,2141,1796,"5",93
"Volkswagen",565000,2014,72.782,"Petrol","Manual","First","Individual",1198,74,110,"FWD",3970,1682,1453,"5",45
"Maruti Suzuki",369000,2017,16.8,"Petrol","Manual","First","Individual",998,67,90,"FWD",3545,1490,1475,"5",35
"Toyota",1090000,2019,40.9,"Petrol","Automatic","First","Corporate",1496,106,140,"FWD",4425,1730,1495,"5",42
"Honda",580000,2017,39,"Petrol","Manual","First","Corporate",1199,89,110,"FWD",3999,1734,1601,"5",40
"BMW",2199000,2016,77,"Diesel","Automatic","First","Individual",1995,184,350,"RWD",4454,2044,1545,"5",63
"Mahindra",1251000,2018,120,"Diesel","Manual","Second","Individual",2179,140,320,"RWD",4456,1820,1995,"<5",60
"Honda",540000,2017,38.7,"Petrol","Manual","First","Individual",1198,87,109,"FWD",3990,1680,1505,"5",35
"Maruti Suzuki",1245000,2021,7.239,"Petrol","Manual","First","Individual",1462,103,138,"FWD",4445,1775,1700,"<5",45
"BMW",4749000,2020,14,"Petrol","Automatic","First","Individual",1998,248,350,"RWD",4633,1811,1429,"5",57
"Hyundai",365000,2014,76,"Petrol","Manual","First","Individual",1197,81,114,"FWD",3765,1660,1520,"5",43
"BMW",4300000,2020,11,"Diesel","Automatic","First","Individual",1995,188,400,"FWD",4526,1800,1420,"5",50
"Maruti Suzuki",825000,2019,81.3,"Diesel","Manual","First","Individual",1248,89,200,"FWD",3995,1790,1640,"5",48
"Volkswagen",325000,2013,76,"Diesel","Manual","First","Individual",1598,103,250,"FWD",3970,1682,1453,"5",45
"Tata",4e+05,2018,91.46,"Petrol","Manual","First","Individual",1199,84,114,"FWD",3746,1647,1535,"5",35
"Land Rover",3600000,2018,45,"Diesel","Automatic","First","Individual",1999,177,430,"AWD",4360,2120,1635,"5",57
"Mahindra",671000,2013,47,"Diesel","Manual","First","Individual",2179,120,290,"RWD",4430,1817,1975,"<5",60
"Mercedes-Benz",3400000,2018,50,"Diesel","Automatic","First","Individual",2143,168,400,"AWD",4656,1890,1639,"5",66
"BMW",3200000,2014,133.273,"Diesel","Automatic","First","Individual",2993,258,560,"RWD",5219,1902,1481,">5",52
"Volkswagen",775000,2017,60.5,"Petrol","Automatic","First","Individual",1197,103,175,"FWD",4390,1699,1467,"5",55
"Mercedes-Benz",2150000,2014,81,"Diesel","Automatic","First","Individual",2987,234,535,"AWD",4781,1911,1774,"5",95
"Land Rover",4700000,2020,22,"Diesel","Automatic","Second","Individual",1999,237,430,"AWD",4988,2220,1846,"5",52
"Ford",145000,2009,88,"Diesel","Manual","First","Individual",1399,68,160,"FWD",4145,1632,1440,"5",43
"MINI",3590000,2020,19.759,"Diesel","Automatic","First","Individual",1496,114,270,"FWD",3982,1727,1425,"5",44
"Toyota",375000,2011,77,"Petrol","Manual","First","Individual",1794,132,170,"FWD",4540,1760,1480,"5",55
"Hyundai",645000,2015,58.2,"Petrol","Automatic","First","Individual",1591,121,158,"FWD",4370,1700,1475,"5",43
"Toyota",11500000,2022,4,"Other","Automatic","First","Individual",2494,115,198,"AWD",4935,1850,1895,"<5",58
"Maruti Suzuki",509999,2015,42,"Petrol","Manual","First","Individual",998,67,90,"FWD",3600,1600,1560,"5",35
"Hyundai",545000,2013,63,"Petrol","Automatic","First","Individual",1797,147,177,"FWD",4530,1775,1470,"5",56
"Honda",835000,2018,42.855,"Petrol","Manual","First","Individual",1497,117,145,"FWD",4440,1695,1495,"5",40
"Renault",960000,2018,24,"Diesel","Manual","First","Individual",1461,84,200,"FWD",4315,1822,1695,"5",50
"Maruti Suzuki",540000,2019,34,"Petrol","Manual","First","Individual",998,67,90,"FWD",3695,1600,1560,"5",35
"Kia",1475000,2022,9.5,"Petrol","Manual","First","Individual",1497,113,144,"FWD",4315,1800,1637,"5",50
"Jaguar",3600000,2014,32,"Diesel","Automatic","Second","Individual",2993,271,600,"RWD",5252,1899,1457,"5",83
"Hyundai",1175000,2018,97,"Diesel","Manual","First","Individual",1582,126,260,"FWD",4375,1700,1475,"5",43
"Hyundai",475000,2014,72.9,"Petrol","Automatic","Second","Individual",1591,121,158,"FWD",4370,1700,1475,"5",43
"Audi",9900000,2021,28,"Petrol","Automatic","First","Individual",2995,335,500,"AWD",4986,1995,1705,"5",85
"Maruti Suzuki",650000,2022,6,"Petrol","Manual","First","Individual",1197,89,113,"FWD",3845,1735,1530,"5",37
"BMW",6100000,2021,24.5,"Diesel","Automatic","First","Corporate",2993,260,620,"AWD",4752,1918,1621,"5",68
"Hyundai",370000,2013,41,"Petrol","Automatic","First","Individual",1197,79,113,"FWD",3585,1595,1550,"5",35
"Honda",875000,2018,50,"Petrol","Manual","First","Individual",1497,117,145,"FWD",4440,1695,1495,"5",40
"Maruti Suzuki",695000,2018,66,"Diesel","Automatic","First","Individual",1248,74,190,"FWD",3995,1735,1515,"5",37
"Tata",2275000,2022,38,"Diesel","Automatic","First","Individual",1956,168,350,"FWD",4598,1894,1706,"5",50
"Jeep",2700000,2021,17,"Petrol","Automatic","First","Individual",1368,161,250,"FWD",4405,1818,1640,"5",60
"Hyundai",545000,2014,74,"Diesel","Manual","First","Individual",1582,126,260,"FWD",4370,1700,1475,"5",43
"Maruti Suzuki",540000,2021,22,"Petrol","Manual","First","Individual",1693,130,246,"FWD",3655,1620,1675,"5",32
"Skoda",1099000,2018,20.69,"Petrol","Automatic","First","Individual",1598,104,153,"FWD",4413,1699,1466,"5",55
"Hyundai",1125000,2019,40,"Diesel","Manual","First","Individual",1582,126,260,"FWD",4375,1700,1475,"5",43
"Hyundai",1299000,2018,50,"Petrol","Automatic","First","Individual",1591,122,154,"FWD",4270,1780,1630,"5",60
"BMW",1600000,2013,70,"Diesel","Automatic","Second","Individual",1995,217,450,"RWD",4899,2094,1464,"5",52
"BMW",10800000,2021,20,"Petrol","Automatic","First","Individual",2998,335,450,"AWD",4935,2004,1696,"5",83
"Maruti Suzuki",1190000,2020,47.248,"Petrol","Automatic","First","Individual",1462,103,138,"FWD",4445,1775,1700,"<5",45
"Tata",795000,2021,9,"Petrol","Automatic","First","Individual",1199,84,113,"FWD",3993,1677,1532,"5",35
"Hyundai",459999,2013,78,"Diesel","Manual","Second","Individual",1582,126,260,"FWD",4370,1700,1475,"5",43
"Audi",3400000,2018,51,"Diesel","Automatic","First","Individual",1968,190,400,"FWD",4933,1874,1455,"5",75
"Hyundai",1050000,2018,34.841,"Petrol","Manual","First","Individual",1591,122,151,"FWD",4270,1780,1665,"5",55
"Hyundai",385000,2014,46,"Petrol","Manual","First","Individual",1197,83,114,"FWD",3995,1710,1505,"5",45
"Honda",585000,2015,61,"Diesel","Manual","First","Individual",1498,99,200,"FWD",4440,1695,1495,"5",40
"Audi",1650000,2014,55,"Diesel","Automatic","First","Individual",1968,141,320,"FWD",4456,1796,1416,"5",50
"Maruti Suzuki",625000,2020,58.736,"Petrol","Manual","First","Individual",1197,83,115,"FWD",3850,1695,1530,"5",42
"Maruti Suzuki",910000,2019,34,"Petrol","Manual","First","Individual",1462,103,138,"FWD",4490,1730,1485,"5",43
"Mahindra",1275000,2018,47,"Diesel","Manual","First","Individual",2179,153,360,"FWD",4585,1890,1785,"<5",70
"Hyundai",585000,2017,47,"Petrol","Manual","First","Individual",1197,82,115,"FWD",3985,1734,1505,"5",45
"Mahindra",1035000,2017,79,"Diesel","Manual","First","Individual",2498,105,247,"AWD",3920,1710,1930,"<5",60
"Hyundai",1075000,2021,12.02,"Petrol","Automatic","First","Individual",1197,87,115,"FWD",3995,1775,1505,"5",37
"Hyundai",1650000,2020,7,"Diesel","Manual","First","Individual",1493,113,250,"FWD",4300,1790,1635,"5",50
"Audi",1575000,2014,15,"Diesel","Automatic","First","Individual",1968,141,320,"FWD",4701,1826,1427,"5",63
"BMW",1950000,2014,82,"Diesel","Automatic","Second","Individual",1995,184,380,"AWD",4648,1881,1661,"5",67
"BMW",6390000,2022,6,"Diesel","Automatic","First","Individual",1995,188,400,"RWD",4936,1868,1479,"5",65
"Hyundai",1080000,2019,68,"Diesel","Manual","First","Individual",1396,89,224,"FWD",4270,1780,1630,"5",60
"Audi",5500000,2017,24,"Diesel","Automatic","First","Individual",2967,245,600,"AWD",5052,1968,1740,"<5",75
"Hyundai",1080000,2020,56,"Diesel","Manual","First","Individual",1493,99,240,"FWD",3995,1770,1605,"5",45
"Mahindra",8e+05,2015,25,"Diesel","Manual","First","Corporate",2179,138,330,"FWD",4585,1890,1785,"<5",70
"Datsun",335000,2017,34,"Petrol","Manual","First","Individual",1198,67,104,"FWD",3995,1635,1490,"<5",35
"Hyundai",1185000,2021,10.7,"Petrol","Manual","First","Individual",998,118,172,"FWD",3995,1770,1605,"5",45
"Hyundai",894999,2021,25,"Petrol","Automatic","First","Individual",1197,87,115,"FWD",3995,1775,1505,"5",37
"Honda",650000,2019,54,"Petrol","Automatic","Second","Individual",1199,89,110,"FWD",3995,1695,1501,"5",35
"Hyundai",550000,2014,75,"Diesel","Manual","First","Individual",1396,90,220,"FWD",3940,1710,1505,"5",45
"Maruti Suzuki",550000,2016,88,"Diesel","Manual","First","Individual",1248,74,190,"FWD",3995,1745,1500,"5",37
"Audi",1650000,2016,139,"Diesel","Automatic","Second","Individual",1968,174,380,"AWD",4385,1831,1608,"5",64
"Skoda",1600000,2022,1.3,"Petrol","Manual","First","Individual",999,114,178,"FWD",4225,1760,1612,"5",50
"Hyundai",1175000,2019,20,"Petrol","Manual","First","Individual",1591,121,158,"FWD",4375,1700,1475,"5",43
"Mitsubishi",1995000,2018,122,"Diesel","Automatic","First","Individual",2477,176,350,"RWD",4695,1815,1840,"<5",70
"Hyundai",575000,2016,38,"Diesel","Manual","First","Individual",1396,89,220,"FWD",3985,1734,1505,"5",45
"MG",1975000,2021,18.5,"Diesel","Manual","First","Individual",1956,169,350,"FWD",4655,1835,1760,"5",60
"Hyundai",1625000,2022,27.8,"Diesel","Manual","First","Individual",1493,113,250,"FWD",4300,1790,1635,"5",50
"Maruti Suzuki",695000,2019,46.027,"Petrol","Manual","First","Individual",1197,83,115,"FWD",3850,1695,1530,"5",42
"Toyota",875000,2018,23.148,"Petrol","Automatic","First","Individual",1496,106,140,"FWD",4425,1730,1495,"5",42
"Skoda",1495000,2017,28,"Petrol","Automatic","First","Individual",1798,177,250,"FWD",4670,1814,1476,"5",50
"Maruti Suzuki",725000,2019,11.874,"Petrol","Automatic","First","Individual",1197,82,113,"FWD",3840,1735,1530,"5",37
"Hyundai",875000,2017,50,"Petrol","Manual","First","Individual",1591,122,154,"FWD",4270,1780,1630,"5",60
"BMW",2250000,2014,88,"Diesel","Automatic","Third or more","Individual",1995,184,380,"RWD",4899,2094,1464,"5",52
"Ford",2350000,2016,75,"Diesel","Automatic","Second","Individual",2198,158,385,"RWD",4892,1860,1837,"<5",80
"BMW",2690000,2019,15.5,"Diesel","Automatic","First","Individual",1995,188,400,"RWD",4633,1811,1429,"5",57
"Maruti Suzuki",695000,2016,82.445,"Diesel","Manual","Second","Individual",1248,89,200,"FWD",4490,1730,1485,"5",43
"Honda",6e+05,2014,75.574,"Petrol","Manual","Second","Individual",1497,117,145,"FWD",4440,1695,1495,"5",40
"Maruti Suzuki",375000,2015,64,"Other","Manual","First","Individual",998,58,77,"FWD",3599,1495,1700,"5",35
